,invalid
1689,1068552
1690,1069824
1691,1070313
1692,1070314
1693,1070315
1694,1070316
1695,1070317
1696,1070318
1697,1070319
1698,1070320
1699,1070321
1700,1070324
1701,1072602
1702,1072609
1703,1072613
1704,1072614
1705,1072615
1706,1072616
1707,1072617
1708,1072618
1709,1072619
1710,1072622
1711,1072637
1712,1072647
1713,1076122
1714,1078110
1715,1078179
1716,1081830
1717,1083987
1718,1090810
1719,1090878
1720,1090879
1721,1090896
1722,1090897
1723,1091094
1724,1091096
1725,1091097
1726,1091098
1727,1091100
1728,1101562
1729,1101577
1730,1105091
1731,1105125
1732,1105210
1733,1105422
1734,1105472
1735,1105478
1736,1110085
1737,755
1738,1351
1739,1353
1740,1379
1741,1560
1742,1571
1743,1574
1744,17092
1745,17094
1746,17095
1747,17098
1748,17628
1749,26071
1750,27215
1751,27216
1752,27247
1753,27248
1754,27254
1755,29501
1756,29591
1757,29592
1758,29593
1759,29594
1760,29595
1761,29596
1762,29597
1763,29598
1764,29599
1765,29600
1766,29601
1767,29602
1768,33936
1769,33939
1770,33940
1771,34564
1772,34565
1773,34566
1774,34567
1775,35786
1776,36476
1777,36484
1778,36537
1779,36542
1780,36550
1781,36551
1782,36577
1783,36585
1784,36589
1785,36590
1786,36591
1787,39356
1788,40202
1789,42660
1790,42743
1791,42780
1792,42791
1793,45009
1794,45010
1795,48717
1796,48718
1797,48719
1798,48865
1799,48866
1800,48867
1801,48868
1802,48869
1803,48870
1804,48871
1805,48872
1806,48873
1807,48875
1808,48876
1809,48877
1810,48878
1811,48879
1812,48880
1813,48881
1814,48882
1815,48883
1816,48884
1817,48885
1818,48886
1819,48887
1820,48888
1821,48889
1822,48890
1823,48891
1824,48893
1825,48894
1826,48895
1827,48896
1828,48897
1829,48898
1830,48899
1831,48901
1832,48902
1833,48903
1834,48904
1835,48905
1836,48906
1837,48907
1838,48909
1839,48910
1840,48924
1841,48925
1842,48926
1843,49671
1844,52139
1845,52151
1846,52509
1847,52614
1848,52615
1849,52704
1850,52713
1851,52714
1852,52899
1853,52900
1854,52902
1855,52903
1856,52904
1857,52906
1858,52907
1859,52908
1860,52910
1861,52911
1862,52912
1863,52913
1864,52914
1865,52915
1866,52916
1867,52917
1868,52919
1869,52920
1870,52936
1871,52937
1872,52938
1873,52939
1874,52940
1875,52942
1876,52943
1877,52944
1878,52945
1879,52946
1880,52947
1881,52948
1882,52949
1883,52950
1884,52951
1885,52952
1886,52953
1887,52954
1888,52955
1889,52956
1890,52957
1891,52958
1892,52959
1893,52960
1894,52961
1895,52962
1896,52963
1897,52965
1898,52966
1899,52967
1900,52969
1901,52970
1902,52971
1903,52972
1904,52973
1905,52976
1906,52978
1907,52979
1908,53024
1909,53025
1910,53026
1911,53057
1912,54108
1913,54479
1914,54484
1915,54492
1916,54494
1917,54515
1918,54517
1919,54521
1920,54522
1921,54523
1922,54637
1923,54779
1924,54875
1925,54876
1926,54878
1927,54918
1928,54919
1929,54925
1930,54927
1931,54929
1932,55033
1933,56237
1934,56238
1935,56289
1936,57169
1937,57175
1938,58668
1939,58671
1940,58674
1941,58677
1942,58678
1943,58679
1944,58680
1945,58681
1946,58682
1947,58683
1948,58684
1949,58685
1950,58686
1951,58687
1952,58688
1953,58689
1954,58690
1955,58691
1956,58692
1957,58693
1958,58694
1959,58695
1960,58696
1961,58697
1962,58704
1963,58705
1964,58706
1965,58707
1966,58708
1967,58715
1968,58717
1969,58718
1970,58722
1971,58725
1972,58727
1973,58728
1974,58729
1975,58730
1976,58731
1977,58732
1978,58733
1979,59387
1980,59706
1981,59727
1982,59787
1983,60021
1984,60534
1985,60535
1986,60540
1987,60541
1988,60542
1989,60543
1990,60544
1991,60546
1992,60547
1993,60548
1994,60549
1995,60550
1996,60551
1997,60552
1998,60553
1999,60554
2000,60555
2001,60556
2002,60557
2003,60560
2004,60561
2005,60562
2006,60563
2007,60564
2008,60565
2009,60566
2010,60567
2011,60568
2012,60570
2013,60571
2014,60572
2015,60573
2016,60574
2017,60575
2018,60576
2019,60577
2020,60580
2021,62442
2022,62455
2023,62457
2024,62530
2025,62560
2026,62561
2027,63253
2028,63949
2029,63950
2030,63951
2031,64218
2032,64287
2033,64288
2034,64289
2035,64290
2036,64427
2037,64926
2038,64981
2039,66049
2040,66050
2041,66051
2042,66052
2043,66053
2044,66054
2045,70805
2046,70806
2047,70810
2048,70818
2049,70820
2050,70821
2051,70822
2052,70823
2053,70840
2054,70841
2055,70846
2056,70847
2057,70849
2058,70850
2059,70894
2060,70920
2061,70940
